cell_id	condition	condition_label	metric	value
potential	0.384325607371151
Cell000143	normal	Normal	Transition
potential	0.483810649482148
Cell000144	normal	Normal	Transition
potential	0.421427218241071
Cell000145	normal	Normal	Transition
potential	0.320651254987111
Cell000146	normal	Normal	Transition
potential	0.38237241792681
Cell000147	normal	Normal	Transition
potential	0.407115738839363
Cell000148	normal	Normal	Transition
potential	0.476176596946058
Cell000149	normal	Normal	Transition
potential	0.204111356770085
Cell000150	normal	Normal	Transition
potential	0.380138834179277
Cell000151	disease	Disease	Transition
potential	0.0507227707216535
Cell000152	disease	Disease	Transition
potential	0.0605669632888876
Cell000153	disease	Disease	Transition
potential	0.050136839810336
Cell000154	disease	Disease	Transition
potential	0.117593939892307
Cell000155	disease	Disease	Transition
potential	0.0451301714952266
Cell000156	disease	Disease	Transition
potential	0.0867618553388774
Cell000157	disease	Disease	Transition
potential	0.0664696427327004
Cell000158	disease	Disease	Transition
potential	0.0283121296376268
Cell000159	disease	Disease	Transition
potential	0.0589477803431121
Cell000160	disease	Disease	Transition
potential	0.091592635345415
Cell000161	disease	Disease	Transition
potential	0.0655668142657437
Cell000162	disease	Disease	Transition
potential	0.126531238910912
Cell000163	disease	Disease	Transition
potential	0.0649252024041875
Cell000164	disease	Disease	Transition
potential	0.204111356770085
Cell000165	disease	Disease	Transition
potential	0.0441869219429096
Cell000166	disease	Disease	Transition
potential	0.100900733489124
Cell000167	disease	Disease	Transition
