cell_id	state	mean	sd	lower	upper
Cell000002	inflammatory	0.0110111896814522	0.00243345276882993	0.00816481954558165	0.0137738212523996
Cell000003	inflammatory	0.181604243985005	0.0253175612222057	0.134330206276058	0.208905879890825
Cell000004	inflammatory	0.336084717759305	0.0347005063202155	0.289104503388847	0.363453554307455
Cell000005	inflammatory	0.113216641509327	0.026588808907512	0.0905063259989404	0.145516329529583
Cell000006	inflammatory	0.156823082163463	0.0404327844595722	0.102353647285496	0.219081621647687
Cell000007	inflammatory	0.25450475392139	0.0398280272568246	0.20430489041118	0.294896421671277
Cell000008	inflammatory	0.373616237194675	0.0239575696116725	0.355074087968461	0.410516966026802
Cell000009	inflammatory	0.24016929754162	0.0559018158405448	0.153715863368319	0.303762066228026
Cell000010	inflammatory	0.215002276216345	0.0306707637099299	0.190258074509523	0.265080877363293
Cell000011	inflammatory	0.140356847787612	0.0200526704605209	0.122054006317638	0.164867491988778
Cell000012	inflammatory	0.161311175210523	0.0283914347534457	0.139009163903845	0.199000967484511
Cell000013	inflammatory	0.132619968425353	0.0241158996234256	0.0817207828571288	0.145939320092721
Cell000014	inflammatory	0.12456171877948	0.0628179627110044	0.0725006792745198	0.227276476079913
Cell000015	inflammatory	0.10790833856519	0.0504711894677921	0.0436743022753144	0.175345119191489
Cell000016	inflammatory	0.156302368819319	0.0189836207112841	0.131932345877012	0.170292322045207
Cell000017	inflammatory	0.379351452252964	0.0611151947247253	0.333489607033963	0.443857218921233
Cell000018	inflammatory	0.295337616840146	0.0346134695490353	0.272085968753555	0.318589264926737
Cell000019	inflammatory	0.402141247226948	0.0368443245927882	0.346257794635251	0.431840402417085
Cell000020	inflammatory	0.119924535023543	0.0639854119828304	0.076942242248972	0.162906827798113
Cell000021	inflammatory	0.457356067767119	0.0275559012290981	0.424273875072094	0.480195262954273
Cell000022	inflammatory	0.152775830421766	0.0309155281328249	0.128777503172377	0.21128982484217
Cell000023	inflammatory	0.251321371028623	0.0336979008385132	0.223302181572026	0.300566629375699
Cell000024	inflammatory	0.223129417861264	0.0237865363664734	0.195663251617002	0.250734274606622
Cell000025	inflammatory	0.385787570278753	0.0502430145282193	0.309213462953903	0.427496680711967
Cell000026	inflammatory	0.224169001136756	0.0251528126471647	0.204798070198899	0.259341925156119
Cell000027	inflammatory	0.127168242763945	0.0433377207707934	0.0897583859146994	0.19674977123846
Cell000028	inflammatory	0.217479066161746	0.0505035842323437	0.163241749769888	0.294106787966455
