scenario	replicate	method	cell_id	true_entropy	pred_entropy	entropy_abs_error	scenario_label
rare_transition	1	fibrodynmix_nb	Cell000013	1.3090880770226	1.73682464361534	0.427736566592739	Rare
rare_transition	3	marker_scoring	Cell000087	0.908747507869954	1.72494446442118	0.816196956551226	Rare
continuous	1	fibrodynmix_vi	Cell000013	1.22572112375302	1.61785346254774	0.39213233879472	Continuous
rare_transition	2	fibrodynmix_vi	Cell000060	1.48542329257854	1.46943159542048	0.0159916971580569	Rare
continuous	3	fibrodynmix_vi	Cell000083	0.991581030788689	1.45520512959206	0.463624098803372	Continuous
continuous	1	fibrodynmix_vi	Cell000108	1.58653301154296	1.64856187298727	0.0620288614443045	Continuous
rare_transition	3	fibrodynmix_vi	Cell000042	1.18674214708245	1.74842759669512	0.56168544961267	Rare
continuous	2	marker_scoring	Cell000102	1.48274831532933	1.73771399425073	0.254965678921403	Continuous
continuous	2	marker_scoring	Cell000013	0.955120157228415	1.76959032536952	0.814470168141107	Continuous
continuous	3	fibrodynmix_vi	Cell000013	1.18062693269431	1.348675523106	0.168048590411699	Continuous
continuous	2	fibrodynmix_vi	Cell000019	1.61769028852357	1.54671800334716	0.0709722851764123	Continuous
rare_transition	2	fibrodynmix_vi	Cell000045	0.772389662646393	1.43195686538798	0.659567202741591	Rare
continuous	2	marker_scoring	Cell000025	1.60055064917038	1.77906823987446	0.178517590704084	Continuous
continuous	3	fibrodynmix_nb	Cell000017	1.03068164567421	1.43306319612068	0.402381550446477	Continuous
continuous	2	fibrodynmix_vi	Cell000065	1.62912382560813	1.32021743793304	0.308906387675089	Continuous
rare_transition	1	marker_scoring	Cell000070	1.45765921587011	1.74074020382218	0.283080987952068	Rare
continuous	1	marker_scoring	Cell000015	1.14129792893749	1.74399479056182	0.602696861624332	Continuous
continuous	1	fibrodynmix_nb	Cell000036	1.6172747914741	1.55865673633766	0.0586180551364444	Continuous
rare_transition	3	fibrodynmix_nb	Cell000027	1.47068170506633	1.73154445568254	0.260862750616208	Rare
rare_transition	1	fibrodynmix_nb	Cell000034	1.48167321006247	1.74727271537597	0.265599505313498	Rare
rare_transition	3	fibrodynmix_vi	Cell000032	1.40174294523645	1.66779411265344	0.266051167416981	Rare
rare_transition	3	fibrodynmix_vi	Cell000047	1.3090880770226	1.59416878379371	0.28508070677111	Rare
rare_transition	2	fibrodynmix_nb	Cell000024	1.4502848304796	1.5818415425718	0.131556712092202	Rare
continuous	1	fibrodynmix_nb	Cell000108	1.58653301154296	1.6595451675831	0.0730121560401327	Continuous
continuous	2	fibrodynmix_vi	Cell000068	1.43509518524839	1.62742111845641	0.192325933208018	Continuous
continuous	3	fibrodynmix_vi	Cell000009	1.38076680206786	1.40798622267683	0.0272194206089753	Continuous
rare_transition	3	fibrodynmix_nb	Cell000086	1.2553087660195	1.63509292456553	0.37978415854603	Rare
continuous	1	fibrodynmix_vi	Cell000092	1.56599078264678	1.60084834232215	0.0348575596753702	Continuous
rare_transition	1	fibrodynmix_nb	Cell000016	0.768723752286114	1.54039850205631	0.771674749770192	Rare
rare_transition	2	fibrodynmix_nb	Cell000003	1.3090880770226	1.62055645582826	0.311468378805664	Rare
continuous	1	fibrodynmix_vi	Cell000025	1.64639306104263	1.56909539494966	0.0772976660929676	Continuous
rare_transition	1	fibrodynmix_nb	Cell000085	1.00808927655237	1.56883101124534	0.560741734692971	Rare
rare_transition	1	fibrodynmix_nb	Cell000038	0.882037851512543	1.5481552898591	0.666117438346556	Rare
continuous	1	fibrodynmix_nb	Cell000001	1.33581770809907	1.58467559946919	0.248857891370127	Continuous
rare_transition	3	marker_scoring	Cell000018	1.3090880770226	1.75476170947295	0.445673632450351	Rare
continuous	1	marker_scoring	Cell000026	1.65847069248899	1.72982224303006	0.0713515505410689	Continuous
