dataset_id	study_id	donor_id	condition	organism	tissue	state	composition	mean_entropy	sensitivity_mode	seed
gse246215_hcc_library_trim_q95_seed246216	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	myofibroblast	0.868970573252054	0.33693717763692	library_trim_q95	246216
gse246215_hcc_library_trim_q95_seed246216	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	ECM-remodeling	0.0132816076419548	0.33693717763692	library_trim_q95	246216
gse246215_hcc_library_trim_q95_seed246216	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	antigen-presenting	0.00369810118321579	0.33693717763692	library_trim_q95	246216
gse246215_hcc_library_trim_q95_seed246216	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	IFN-stress	0.0140461625240193	0.33693717763692	library_trim_q95	246216
gse246215_nsclc_library_trim_q95_seed246216	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	resident	0.0587787240159098	0.712114566517113	library_trim_q95	246216
gse246215_nsclc_library_trim_q95_seed246216	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	inflammatory	0.0891858284115603	0.712114566517113	library_trim_q95	246216
gse246215_nsclc_library_trim_q95_seed246216	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	myofibroblast	0.114283826108478	0.712114566517113	library_trim_q95	246216
gse246215_nsclc_library_trim_q95_seed246216	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	ECM-remodeling	0.68853509774513	0.712114566517113	library_trim_q95	246216
gse246215_nsclc_library_trim_q95_seed246216	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	antigen-presenting	0.0147701256014195	0.712114566517113	library_trim_q95	246216
gse246215_nsclc_library_trim_q95_seed246216	GSE246215_NSCLC_library_trim_q95	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	IFN-stress	0.0344463981175023	0.712114566517113	library_trim_q95	246216
gse246215_tnbc_library_trim_q95_seed246216	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	resident	0.194457382741601	1.06306834633228	library_trim_q95	246216
gse246215_tnbc_library_trim_q95_seed246216	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	inflammatory	0.176484545445111	1.06306834633228	library_trim_q95	246216
gse246215_tnbc_library_trim_q95_seed246216	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	myofibroblast	0.283315475978617	1.06306834633228	library_trim_q95	246216
gse246215_tnbc_library_trim_q95_seed246216	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	ECM-remodeling	0.217671101145905	1.06306834633228	library_trim_q95	246216
gse246215_tnbc_library_trim_q95_seed246216	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	antigen-presenting	0.0552162690426543	1.06306834633228	library_trim_q95	246216
gse246215_tnbc_library_trim_q95_seed246216	GSE246215_TNBC_library_trim_q95	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	IFN-stress	0.0728552256461107	1.06306834633228	library_trim_q95	246216
