state	gene	rank	spearman_rho	dataset
antigen-presenting	COL15A1	34	0.529153320884679	GSE243716
antigen-presenting	RAMP3	35	0.517698045030662	GSE243716
antigen-presenting	SOCS3	36	0.515663702813984	GSE243716
antigen-presenting	ICAM1	37	0.509369575402934	GSE243716
antigen-presenting	PCDH17	38	0.506260064519063	GSE243716
antigen-presenting	HLA-DQA1	39	0.498219101283368	GSE243716
antigen-presenting	CALCRL	40	0.497889256675682	GSE243716
IFN-stress	PECAM1	1	0.537745953861105	GSE243716
IFN-stress	PLVAP	2	0.534343154844417	GSE243716
IFN-stress	CDH5	3	0.531644374594289	GSE243716
IFN-stress	CLEC14A	4	0.530846861737222	GSE243716
IFN-stress	ADGRL4	5	0.530754131682938	GSE243716
IFN-stress	SOX18	6	0.52858508485546	GSE243716
IFN-stress	EGFL7	7	0.52786114420362	GSE243716
IFN-stress	ITGA6	8	0.523254529108683	GSE243716
IFN-stress	RAMP2	9	0.520318416174509	GSE243716
IFN-stress	CD34	10	0.51745187310389	GSE243716
IFN-stress	EMCN	11	0.51571601484197	GSE243716
IFN-stress	TM4SF1	12	0.515693128366077	GSE243716
IFN-stress	FLT1	13	0.513272434127983	GSE243716
IFN-stress	PTPRB	14	0.507441574442569	GSE243716
IFN-stress	PODXL	15	0.501304233161793	GSE243716
IFN-stress	CD93	16	0.492015005509834	GSE243716
IFN-stress	COL4A1	17	0.487787258715326	GSE243716
IFN-stress	VWF	18	0.48747254208708	GSE243716
IFN-stress	COL15A1	19	0.482117311530194	GSE243716
IFN-stress	EFNA1	20	0.478795972903475	GSE243716
IFN-stress	CALCRL	21	0.478366469299652	GSE243716
IFN-stress	CD9	22	0.469208622729805	GSE243716
IFN-stress	MCAM	23	0.46369829662995	GSE243716
IFN-stress	AQP1	24	0.458395357526026	GSE243716
IFN-stress	NOTCH4	25	0.453826287363437	GSE243716
IFN-stress	RBP7	26	0.444534689416121	GSE243716
IFN-stress	PCDH17	27	0.436268030891129	GSE243716
IFN-stress	MCTP1	28	0.434020077260692	GSE243716
IFN-stress	ETS2	29	0.433858506593976	GSE243716
IFN-stress	EFNB2	30	0.433327950052004	GSE243716
IFN-stress	MECOM	31	0.432100132044192	GSE243716
IFN-stress	THBD	32	0.431580351664439	GSE243716
IFN-stress	PREX2	33	0.430170935174595	GSE243716
IFN-stress	KDR	34	0.427230040123506	GSE243716
IFN-stress	TCIM	35	0.42241037290422	GSE243716
IFN-stress	SOX17	36	0.41859602288473	GSE243716
IFN-stress	THSD7A	37	0.418311010296927	GSE243716
IFN-stress	RAMP3	38	0.412419586049867	GSE243716
IFN-stress	GATA2	39	0.411979410249325	GSE243716
IFN-stress	ROBO4	40	0.407173521308709	GSE243716
